time_date_stamp, excel_time_date_stamp, unix_time_stamp, test_time,Current_temp_B0,Current_temp_B1,Current_temp_B2,Current_temp_B3,Current_temp_B4,Current_temp_B5,Current_temp_B6,Current_temp_Falz-,Target_temp_B0,Target_temp_B1,Target_temp_B2,Target_temp_B3,Target_temp_B4,Target_temp_B5,Target_temp_B6,Target_temp_Falz-,kp_B0,kp_B1,kp_B2,kp_B3,kp_B4,kp_B5,kp_B6,kp_Falz-,ki_B0,ki_B1,ki_B2,ki_B3,ki_B4,ki_B5,ki_B6,ki_Falz-,kd_B0,kd_B1,kd_B2,kd_B3,kd_B4,kd_B5,kd_B6,kd_Falz-,Output_B0,Output_B1,Output_B2,Output_B3,Output_B4,Output_B5,Output_B6,Output_Falz-,BaSyTec Line.Loop_B0,BaSyTec Line.Loop_B1,BaSyTec Line.Loop_B2,BaSyTec Line.Loop_B3,BaSyTec Line.Loop_B4,BaSyTec Line.Loop_B5,BaSyTec Line.Loop_B6,BaSyTec Line.Loop_Falz-
20241022 _110752,45587.4638022106,1729591672.51167,00:00:00,25,24.99,25,25,25,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.28,8.02,7.68,8.53,8.56,8.69,6.36,0,.,.,.,.,.,.,.,.
20241022 _110753,45587.4638139468,1729591673.52596,00:00:00,25,25.01,25,25,25,25.01,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.09,7.72,7.68,8.47,8.59,8.58,8.12,0,.,.,.,.,.,.,.,.
20241022 _110754,45587.4638256944,1729591674.54025,00:00:00,25,25.01,25,25,24.99,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.16,5.71,7.6,8.46,8.75,8.61,8.17,0,.,.,.,.,.,.,.,.
20241022 _110755,45587.4638374306,1729591675.55453,00:00:00,25,25,25,25,25,25,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.15,7.86,7.63,8.46,8.74,8.76,8.33,0,.,.,.,.,.,.,.,.
20241022 _110756,45587.4638491435,1729591676.56683,00:00:00,25,24.99,25,25,25.01,25,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.05,8.12,7.62,10.14,8.52,8.79,8.46,0,.,.,.,.,.,.,.,.
20241022 _110757,45587.4638608681,1729591677.57912,00:00:00,25,25,25,25,25.01,25,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.02,7.97,7.69,8.37,8.44,8.65,8.28,0,.,.,.,.,.,.,.,.
20241022 _110758,45587.4638726042,1729591678.59341,00:00:00,24.99,25.01,25,25,25,25,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.29,7.75,9.54,8.35,8.63,8.6,8.1,0,.,.,.,.,.,.,.,.
20241022 _110759,45587.4638842245,1729591679.59772,00:00:00,24.99,25.01,25,25,24.99,25,25.01,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.43,7.72,7.73,8.32,8.73,8.74,8.05,0,.,.,.,.,.,.,.,.
20241022 _110800,45587.4638959491,1729591680.61002,00:00:00,25,25,25,25,25,24.99,25,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.31,7.9,7.76,8.29,8.7,8.95,8.16,0,.,.,.,.,.,.,.,.
20241022 _110801,45587.4639076389,1729591681.62031,00:00:00,25,24.99,25,25,25,25,24.99,23.85,25,25,25,25,25,25,25,25,20,25,14,16,16,16,17,0,8.5,8.742,9.702,8.448,8.064,8.064,8.5,0,22,22.76,22.27,20.62,19.69,19.69,22,0,7.23,6.19,7.79,8.26,8.56,8.79,8.34,0,.,.,.,.,.,.,.,.
